time,particles 03um,particles 05um,particles 10um,particles 25um,particles 50um,particles 100um
1770854730.509238,216,57,9,0,0,0
1770854731.5108068,216,57,9,0,0,0
1770854732.51317,216,57,9,0,0,0
1770854733.515466,216,57,10,0,0,0
1770854734.5176501,216,57,10,0,0,0
1770854735.5199432,216,57,10,0,0,0
1770854736.5221949,216,61,9,0,0,0
1770854737.5243945,216,61,9,0,0,0
1770854738.5259938,216,61,9,0,0,0
1770854739.5281758,222,63,9,0,0,0
1770854740.530367,222,63,9,0,0,0
1770854741.5327091,222,63,9,0,0,0
1770854742.5350258,243,69,12,1,0,0
1770854743.5373878,243,69,12,1,0,0
1770854744.539669,243,69,12,1,0,0
1770854745.5416439,228,64,9,1,0,0
1770854746.5432057,228,64,9,1,0,0
1770854747.544774,228,64,9,1,0,0
1770854748.5463161,222,62,8,1,0,0
1770854749.5478835,222,62,8,1,0,0
1770854750.550102,222,62,8,1,0,0
1770854751.5523438,231,65,12,1,0,0
1770854752.554545,231,65,12,1,0,0
1770854753.5567405,231,65,12,1,0,0
1770854754.5589483,225,63,11,1,0,0
1770854755.5612013,225,63,11,1,0,0
1770854756.563499,225,63,11,1,0,0
1770854757.5658543,234,65,11,1,0,0
1770854758.5682545,234,65,11,1,0,0
1770854759.5702887,234,65,11,1,0,0
