p03um,p05um,p10um,p25um,p50um,p100um,temperature,gas,humidity,pressure,altitude
597,107,24,10,6,1,29.126875,66401,100,702.8021414,2981.26816
597,107,24,10,6,1,18.37960938,20628,37.24677287,1003.535593,81.19483641
576,107,23,9,6,1,18.41339844,30375,37.18075283,1003.541689,81.14368674
576,107,23,9,6,1,18.45363281,38280,37.08072064,1003.539529,81.16181279
576,107,23,9,6,1,18.4909375,44975,36.99777764,1003.541112,81.14852268
567,107,21,10,7,1,18.52824219,50657,36.90909705,1003.54269,81.13528297
567,107,21,10,7,1,18.56144531,55637,36.84313328,1003.544351,81.12134788
567,107,21,10,7,1,18.59074219,59597,36.77680375,1003.54642,81.10398619
588,110,21,10,7,1,18.61652344,63290,36.72744955,1003.547825,81.09220058
588,110,21,10,7,1,18.63917969,66559,36.68932961,1003.549213,81.08054976
588,110,21,10,7,1,18.65988281,69142,36.67408432,1003.552529,81.05273043
603,114,21,10,7,1,18.67882813,71625,36.66443101,1003.554652,81.0349191
603,114,21,10,7,1,18.69523438,73901,36.67758919,1003.559453,80.99462808
603,114,21,10,7,1,18.70851563,76186,36.69043934,1003.550465,81.07004619
552,111,23,10,8,2,18.720625,78032,36.69164067,1003.556755,81.01726824
552,111,23,10,8,2,18.73117188,79817,36.71575699,1003.551845,81.05847074
552,111,23,10,8,2,18.74054688,81210,36.73399277,1003.555325,81.02927
543,108,22,10,8,2,18.74933594,82898,36.79256433,1003.552667,81.0515706
543,108,22,10,8,2,18.75714844,84572,36.83951658,1003.553557,81.0441003
543,108,22,10,8,2,18.764375,86138,36.87487715,1003.553476,81.0447789
507,113,24,10,8,2,18.77042969,87214,36.93323357,1003.546287,81.10510644
507,113,24,10,8,2,18.77707031,88692,36.97433679,1003.545234,81.113936
507,113,24,10,8,2,18.78234375,90318,37.00953568,1003.553973,81.04061609
462,107,21,9,8,2,18.78332031,91502,37.03275243,1003.545257,81.11374696
462,107,21,9,8,2,18.78234375,92820,37.00375645,1003.533305,81.21403393
462,107,21,9,8,2,18.78195313,93966,36.94016015,1003.53438,81.20501342
342,75,11,5,5,1,18.78175781,95140,36.87083528,1003.535779,81.19327738
342,75,11,5,5,1,18.77863281,94901,36.77816566,1003.540934,81.15001713
342,75,11,5,5,1,18.77414063,95279,36.70848721,1003.538658,81.16912078
342,71,10,2,2,1,18.77003906,97045,36.65041112,1003.540473,81.15389126
342,71,10,2,2,1,18.76476563,98298,36.57495185,1003.54379,81.12605392
342,71,10,2,2,1,18.76125,99230,36.51698575,1003.543131,81.13158157
333,70,11,2,2,1,18.758125,99525,36.45332228,1003.532787,81.21838446
333,70,11,2,2,1,18.75597656,100904,36.40705079,1003.543004,81.13264835
333,70,11,2,2,1,18.75128906,101638,36.36054343,1003.533515,81.21227433
327,70,11,1,1,1,18.74621094,102761,36.34278005,1003.545766,81.10947168
327,70,11,1,1,1,18.74054688,103715,36.3019497,1003.544992,81.11597291
327,70,11,1,1,1,18.73273438,104167,36.28392504,1003.554434,81.03674512
300,64,11,1,1,1,18.72824219,105214,36.26047839,1003.559045,80.9980551
300,64,11,1,1,1,18.72550781,106282,36.25445902,1003.547625,81.09387573
300,64,11,1,1,1,18.72160156,107097,36.23682466,1003.532541,81.22044127
255,60,12,1,1,1,18.71886719,107510,36.21355852,1003.521122,81.31626261
255,60,12,1,1,1,18.71574219,108766,36.21325179,1003.512499,81.388615
255,60,12,1,1,1,18.71125,109334,36.19556523,1003.498167,81.5088785
237,52,9,0,0,0,18.7065625,109836,36.18360945,1003.493844,81.54515571
237,52,9,0,0,0,18.701875,110854,36.16016075,1003.491242,81.56698304
237,52,9,0,0,0,18.69875,110707,36.15985443,1003.477454,81.68268697
231,49,10,0,0,0,18.69640625,111965,36.17686589,1003.402966,82.30775682
231,49,10,0,0,0,18.69640625,112416,36.19985717,1003.396077,82.36556152
231,49,10,0,0,0,18.69425781,114023,36.21114328,1003.392517,82.39543473
213,43,8,0,0,0,18.68351563,115597,36.16410795,1003.391939,82.40029094
213,43,8,0,0,0,18.67101563,115997,36.07096429,1003.395335,82.37179088
213,43,8,0,0,0,18.65871094,116400,35.95494361,1003.399054,82.34058195
204,41,8,0,0,0,18.64894531,117958,35.81632731,1003.394926,82.37522398
204,41,8,0,0,0,18.63566406,118124,35.67177275,1003.38325,82.47320525
204,41,8,0,0,0,18.62433594,119643,35.53899533,1003.388585,82.42843221
198,38,9,0,0,0,18.6159375,119472,35.40662091,1003.391887,82.40072346
198,38,9,0,0,0,18.60714844,121114,35.30289379,1003.396263,82.36400093
198,38,9,0,0,0,18.59796875,121730,35.19920328,1003.396548,82.36161249
162,32,7,0,0,0,18.59132813,122174,35.11865414,1003.392431,82.39616263
162,32,7,0,0,0,18.58390625,121907,35.06659506,1003.397349,82.35488565
162,32,7,0,0,0,18.57628906,122621,35.02594199,1003.393335,82.38857056
153,29,6,0,0,0,18.56945313,123071,35.00818236,1003.394059,82.38249555
153,29,6,0,0,0,18.56222656,123343,34.96188351,1003.402744,82.30961372
153,29,6,0,0,0,18.55148438,124258,34.92666297,1003.403881,82.30007532
135,25,6,0,0,0,18.53976563,123891,34.87426763,1003.40512,82.28967508
