p03um,p05um,p10um,p25um,p50um,p100um,temperature,gas,humidity,pressure,altitude
102,22,9,1,0,0,29.126875,64261,100,702.8021414,2981.26816
102,22,9,1,0,0,18.7596875,9928,35.83856979,1003.270153,83.42235212
96,20,8,1,0,0,18.8096875,15350,35.79755868,1003.280645,83.33429522
96,20,8,1,0,0,18.86789063,21001,35.71722457,1003.296103,83.20456163
96,20,8,1,0,0,18.92296875,26835,35.63088786,1003.299482,83.17620191
117,26,6,0,0,0,18.97121094,32494,35.52674744,1003.305309,83.1273026
117,26,6,0,0,0,19.01457031,37695,35.42219195,1003.309931,83.08851368
117,26,6,0,0,0,19.04953125,42904,35.33404101,1003.312697,83.06529699
111,24,5,0,0,0,19.07882813,47659,35.23395563,1003.316417,83.03408021
111,24,5,0,0,0,19.09953125,52335,35.13310204,1003.31624,83.03556137
111,24,5,0,0,0,19.11613281,56615,35.06045928,1003.323055,82.97836935
117,27,5,0,0,0,19.13,60897,34.97046726,1003.323618,82.97364774
117,27,5,0,0,0,19.14171875,64808,34.91453921,1003.320622,82.99879069
117,27,5,0,0,0,19.15050781,68576,34.8355445,1003.32139,82.99234309
153,34,3,0,0,0,19.15578125,72243,34.7733492,1003.314613,83.04921753
153,34,3,0,0,0,19.16085938,75636,34.72255313,1003.314406,83.05095848
153,34,3,0,0,0,19.17179688,78618,34.68372082,1003.313561,83.05804913
159,37,4,0,0,0,19.1815625,82005,34.63909195,1003.317668,83.02357796
159,37,4,0,0,0,19.19445313,84915,34.60615653,1003.323503,82.9746089
159,37,4,0,0,0,19.19992188,87671,34.56114044,1003.325665,82.95646517
153,38,5,0,0,0,19.20050781,90318,34.52136392,1003.321465,82.99171245
153,38,5,0,0,0,19.20148438,93756,34.49869994,1003.324806,82.96367847
153,38,5,0,0,0,19.20109375,95574,34.4702222,1003.325882,82.95464352
156,40,6,0,0,0,19.19914063,96431,34.44160214,1003.315755,83.03963804
156,40,6,0,0,0,19.19855469,99525,34.41311693,1003.318231,83.01885392
156,40,6,0,0,0,19.19953125,100601,34.39615389,1003.323295,82.97635669
156,40,5,0,0,0,19.19914063,103204,34.38474786,1003.320925,82.99624822
156,40,5,0,0,0,19.19992188,104950,34.35071936,1003.323942,82.97092839
156,40,5,0,0,0,19.19992188,107029,34.33935366,1003.325665,82.95646517
159,42,5,0,0,0,19.20011719,109620,34.32232514,1003.315648,83.04053064
159,42,5,0,0,0,19.19953125,110780,34.29954368,1003.318125,83.01974646
159,42,5,0,0,0,19.19699219,113252,34.2822621,1003.312197,83.06949368
165,44,5,0,0,0,19.19542969,114569,34.2764346,1003.30961,83.09120691
165,44,5,0,0,0,19.19992188,115517,34.2541384,1003.310155,83.08663484
165,44,5,0,0,0,19.20304688,117544,34.24307415,1003.306712,83.11552585
153,39,7,3,1,0,19.20929688,119302,34.22662613,1003.304997,83.12991901
153,39,7,3,1,0,19.21867188,120590,34.21615155,1003.31535,83.04303341
153,39,7,3,1,0,19.22257813,122621,34.19948544,1003.311477,83.07553469
177,44,7,3,1,0,19.22257813,123343,34.17677704,1003.304583,83.13339034
177,44,7,3,1,0,19.22160156,125751,34.15398035,1003.30469,83.13249675
177,44,7,3,1,0,19.21847656,125940,34.13666052,1003.299516,83.17592195
168,43,7,3,1,0,19.21554688,127473,34.13071049,1003.298112,83.18770542
168,43,7,3,1,0,19.21242188,128945,34.13041714,1003.298107,83.18773941
168,43,7,3,1,0,19.20832031,131994,34.11300881,1003.29821,83.18688058
138,37,7,4,1,0,19.20402344,131476,34.09558444,1003.301435,83.15980934
138,37,7,4,1,0,19.19953125,132306,34.09516314,1003.295721,83.20777079
138,37,7,4,1,0,19.19640625,133573,34.08352388,1003.295716,83.20780655
138,37,6,4,1,0,19.19445313,137295,34.06632317,1003.299376,83.17709435
138,37,6,4,1,0,19.19191406,135628,34.08310274,1003.295172,83.21237839
138,37,6,4,1,0,19.18859375,136958,34.07144633,1003.294844,83.21512918
144,39,6,4,1,0,19.18566406,138201,34.06549956,1003.29861,83.18352557
144,39,6,4,1,0,19.18390625,138774,34.06533485,1003.299146,83.17902688
144,39,6,4,1,0,19.1815625,139700,34.04810007,1003.298711,83.18267091
153,40,5,4,1,0,19.1815625,140756,34.04242878,1003.288371,83.26944987
153,40,5,4,1,0,19.18195313,142070,34.04813666,1003.289018,83.26402149
153,40,5,4,1,0,19.18292969,143040,34.03121485,1003.287189,83.27937704
168,45,6,4,1,0,19.18214844,143408,34.02547105,1003.282448,83.31916033
168,45,6,4,1,0,19.18390625,143900,34.02563561,1003.278465,83.35258605
168,45,6,4,1,0,19.18625,145399,34.03719664,1003.28407,83.30555258
192,45,6,4,1,0,19.18703125,146544,34.03726979,1003.276746,83.36701299
192,45,6,4,1,0,19.18820313,146930,34.03737953,1003.28041,83.33626453
192,45,6,4,1,0,19.18878906,148099,34.04877695,1003.279657,83.34258551
201,48,6,4,1,0,19.18976563,149021,34.04319703,1003.272657,83.40133233
201,48,6,4,1,0,19.19074219,149287,34.0489599,1003.279444,83.3443709
201,48,6,4,1,0,19.19074219,149955,34.05463152,1003.277721,83.35883443
186,45,4,2,0,0,19.18878906,150494,34.06012036,1003.277934,83.35704899
186,45,4,2,0,0,19.18761719,151173,34.07702726,1003.2691,83.43118808
186,45,4,2,0,0,19.18605469,151721,34.0882263,1003.271683,83.40951079
189,45,4,2,0,0,19.18410156,153108,34.08804319,1003.282236,83.32094515
189,45,4,2,0,0,19.18195313,153248,34.09918802,1003.287295,83.27848472
189,45,4,2,0,0,19.17902344,154094,34.11026033,1003.28589,83.29027117
183,42,4,2,0,0,19.17589844,154236,34.09862024,1003.292779,83.2324566
183,42,4,2,0,0,19.1721875,154806,34.11529289,1003.293528,83.22617469
183,42,4,2,0,0,19.16847656,155380,34.12061871,1003.297723,83.19096769
177,41,4,1,0,0,19.16398438,155959,34.12019728,1003.297178,83.19554413
177,41,4,1,0,0,19.1596875,156835,34.13681693,1003.295232,83.21186965
177,41,4,1,0,0,19.15519531,156835,34.14774481,1003.284347,83.30322306
189,44,5,1,0,0,19.15109375,158617,34.13601047,1003.281002,83.33129754
189,44,5,1,0,0,19.14738281,159524,34.1470115,1003.27658,83.36840636
189,44,5,1,0,0,19.14660156,158617,34.15261311,1003.280457,83.33587586
183,42,7,1,0,0,19.14386719,159221,34.16370689,1003.284545,83.30156369
183,42,7,1,0,0,19.1409375,160287,34.15775651,1003.286587,83.28442883
183,42,7,1,0,0,19.1409375,160441,34.16910732,1003.286587,83.28442883
183,39,7,1,0,0,19.14191406,161368,34.17487477,1003.289927,83.25639494
183,39,7,1,0,0,19.14289063,161836,34.16361519,1003.286374,83.28621043
183,39,7,1,0,0,19.14992188,161680,34.16427541,1003.284231,83.30419547
183,39,6,1,0,0,19.15460938,162306,34.17606718,1003.2851,83.29690321
183,39,6,1,0,0,19.15617188,163096,34.15918682,1003.294581,83.21733857
183,39,6,1,0,0,19.15773438,163734,34.18203688,1003.295445,83.21008702
156,39,7,1,0,0,19.16183594,163255,34.16539423,1003.297067,83.19647548
156,39,7,1,0,0,19.16964844,163894,34.17180383,1003.294493,83.21807086
156,39,7,1,0,0,19.17785156,164538,34.15554709,1003.292567,83.23424067
141,34,8,1,0,0,19.18546875,167500,34.16761392,1003.296563,83.20070296
141,34,8,1,0,0,19.19484375,166171,34.16281861,1003.289682,83.25844669
141,34,8,1,0,0,19.20207031,167500,34.15214592,1003.294755,83.21587778
159,40,10,0,0,0,19.20832031,166336,34.1527329,1003.286146,83.28812697
159,40,10,0,0,0,19.21300781,166833,34.14749758,1003.271503,83.41102033
159,40,10,0,0,0,19.21554688,167668,34.13638545,1003.280877,83.33234503
141,38,10,0,0,0,19.2190625,168342,34.14239076,1003.276358,83.37027643
141,38,10,0,0,0,19.22375,169878,34.12580574,1003.278949,83.34853166
141,38,10,0,0,0,19.23234375,169021,34.13796261,1003.272496,83.40268666
150,42,10,0,0,0,19.23976563,169021,34.1329843,1003.264102,83.4731301
150,42,10,0,0,0,19.24523438,171619,34.13349782,1003.266263,83.45499774
150,42,10,0,0,0,19.25050781,169534,34.12264285,1003.262929,83.48297519
150,43,9,0,0,0,19.25617188,171619,34.11182516,1003.26886,83.43320061
150,43,9,0,0,0,19.26339844,172680,34.1181782,1003.273931,83.3906455
150,43,9,0,0,0,19.27101563,170918,34.12456838,1003.274477,83.38605974
138,40,8,0,0,0,19.27726563,171971,34.1081306,1003.265865,83.45833546
138,40,8,0,0,0,19.28507813,174116,34.10886399,1003.271905,83.40764326
138,40,8,0,0,0,19.29542969,171971,34.10416112,1003.263189,83.4807977
135,39,5,0,0,0,19.30753906,173037,34.10529795,1003.255658,83.54400128
135,39,5,0,0,0,19.3175,171795,34.09488388,1003.249741,83.59366413
135,39,5,0,0,0,19.32765625,174661,34.09016283,1003.24587,83.62615177
117,39,5,0,0,0,19.33761719,172325,34.07974934,1003.246846,83.61795651
117,39,5,0,0,0,19.34777344,173936,34.05800755,1003.24987,83.5925837
117,39,5,0,0,0,19.35695313,174843,34.05886873,1003.247828,83.60971724
111,36,5,0,0,0,19.36476563,176316,34.05392827,1003.250418,83.58797859
111,36,5,0,0,0,19.37296875,177061,34.04335143,1003.258826,83.51741107
111,36,5,0,0,0,19.38429688,174843,34.03306815,1003.258617,83.51917176
114,36,7,0,0,0,19.39679688,177061,34.01722281,1003.25345,83.5625297
114,36,7,0,0,0,19.40753906,174843,34.01822998,1003.259165,83.51456729
114,36,7,0,0,0,19.41847656,177813,34.01358317,1003.256583,83.53623837
132,42,7,0,0,0,19.42863281,176874,33.98050482,1003.263051,83.48195394
132,42,7,0,0,0,19.43957031,175945,33.97018753,1003.258744,83.51810301
132,42,7,0,0,0,19.44816406,176316,33.94831054,1003.259177,83.51447031
120,36,4,0,0,0,19.45636719,179336,33.93773871,1003.25379,83.559676
120,36,4,0,0,0,19.464375,176874,33.93281865,1003.258425,83.52077938
120,36,4,0,0,0,19.47238281,179336,33.91089101,1003.256163,83.53976439
111,32,4,0,0,0,19.48214844,178953,33.90046719,1003.255086,83.54880341
111,32,4,0,0,0,19.49523438,180108,33.8903544,1003.256056,83.5406629
111,32,4,0,0,0,19.50753906,178191,33.88583705,1003.250559,83.58679372
147,44,7,0,0,0,19.51691406,180108,33.86404217,1003.25918,83.51444663
147,44,7,0,0,0,19.52492188,182263,33.85912336,1003.256915,83.53344881
147,44,7,0,0,0,19.52960938,181868,33.83689343,1003.264674,83.46833442
171,52,8,0,0,0,19.5346875,178571,33.82036889,1003.25756,83.52803619
171,52,8,0,0,0,19.54191406,182263,33.80971211,1003.255727,83.54342498
171,52,8,0,0,0,19.55089844,182860,33.80488549,1003.2637,83.47651182
171,52,8,0,0,0,19.55324219,181670,33.78810846,1003.260681,83.50184259
171,52,8,0,0,0,19.5565625,180886,33.77142432,1003.266177,83.45572135
171,52,8,0,0,0,19.56222656,183662,33.76628852,1003.270378,83.42045985
183,55,12,0,0,0,19.56828125,182462,33.76118927,1003.270053,83.4231891
183,55,12,0,0,0,19.57042969,180690,33.72740887,1003.268436,83.43676262
183,55,12,0,0,0,19.57335938,180886,33.71069437,1003.264663,83.46842895
189,57,12,0,0,0,19.57804688,184675,33.70546901,1003.26035,83.50462415
189,57,12,0,0,0,19.58566406,183662,33.70617879,1003.266059,83.45670953
189,57,12,0,0,0,19.59464844,184066,33.69003018,1003.267133,83.44769635
198,60,12,0,0,0,19.60441406,182860,33.68527829,1003.260877,83.50019896
198,60,12,0,0,0,19.61261719,184675,33.6917042,1003.257208,83.53099
198,60,12,0,0,0,19.61984375,185288,33.66973144,1003.255372,83.54640171
189,55,9,0,0,0,19.626875,185493,33.65340367,1003.253212,83.56452853
189,55,9,0,0,0,19.6346875,185288,33.654131,1003.257519,83.52838552
189,55,9,0,0,0,19.63996094,185288,33.643301,1003.257623,83.52750971
180,52,8,0,0,0,19.645625,185905,33.63816799,1003.2532,83.56463121
180,52,8,0,0,0,19.65011719,185698,33.6216065,1003.257185,83.53118658
180,52,8,0,0,0,19.65480469,185698,33.59940593,1003.258044,83.5239778
183,52,8,0,0,0,19.65636719,186111,33.58257591,1003.255456,83.54569861
183,52,8,0,0,0,19.65890625,186526,33.57715389,1003.24931,83.59727898
183,52,8,0,0,0,19.66164063,185698,33.56609252,1003.257284,83.53035291
183,53,8,0,0,0,19.66398438,185698,33.54368176,1003.259438,83.51227507
183,53,8,0,0,0,19.66769531,185288,33.52140111,1003.26213,83.48968303
183,53,8,0,0,0,19.67082031,184963,33.51037975,1003.260403,83.50417805
171,44,5,0,0,0,19.67628906,185493,33.5052318,1003.259105,83.51507103
171,44,5,0,0,0,19.68097656,185288,33.48870149,1003.259964,83.50786644
171,44,5,0,0,0,19.69308594,186526,33.46720681,1003.262756,83.48443295
144,35,4,0,0,0,19.70167969,186218,33.44538865,1003.263179,83.48087982
144,35,4,0,0,0,19.70773438,186218,33.43464343,1003.26285,83.48364179
144,35,4,0,0,0,19.71417969,186640,33.41263017,1003.263167,83.48098015
147,36,5,0,0,0,19.71984375,185484,33.40750257,1003.260467,83.50364551
147,36,5,0,0,0,19.72277344,186534,33.4021219,1003.261865,83.49190919
147,36,5,0,0,0,19.72335938,186534,33.39087284,1003.259385,83.5127229
147,36,1,0,0,0,19.72335938,187490,33.37957039,1003.259385,83.5127229
147,36,1,0,0,0,19.72375,186428,33.35135417,1003.254857,83.55072485
147,36,1,0,0,0,19.72375,187704,33.36265447,1003.263481,83.47834675
150,37,2,0,0,0,19.72277344,187277,33.33996445,1003.26014,83.50638477
150,37,2,0,0,0,19.72140625,187277,33.3228906,1003.256153,83.53984779
150,37,2,0,0,0,19.71828125,187490,33.31695316,1003.252707,83.56877213
138,32,2,0,0,0,19.71574219,186958,33.29412615,1003.245056,83.63298582
138,32,2,0,0,0,19.71203125,187170,33.28813598,1003.247539,83.61214581
138,32,2,0,0,0,19.70832031,186640,33.29344086,1003.248297,83.60578197
171,41,3,0,0,0,19.70421875,189540,33.28176755,1003.250133,83.59036852
171,41,3,0,0,0,19.69953125,187918,33.27004126,1003.249276,83.59756875
171,41,3,0,0,0,19.69542969,187918,33.26966282,1003.240764,83.66900773
180,43,7,0,0,0,19.69191406,187811,33.25239991,1003.24012,83.67440854
180,43,7,0,0,0,19.6878125,189213,33.25202166,1003.236782,83.70242257
180,43,7,0,0,0,19.68410156,188996,33.26297139,1003.24099,83.66711185
189,49,7,0,0,0,19.68585938,189322,33.24055042,1003.240449,83.67164838
189,49,7,0,0,0,19.6878125,189431,33.24637596,1003.241956,83.65899745
189,49,7,0,0,0,19.69132813,190417,33.24105461,1003.244325,83.63912099
195,49,7,0,0,0,19.69542969,190197,33.24143277,1003.247662,83.61110711
195,49,7,0,0,0,19.69542969,190747,33.24143277,1003.244213,83.64005738
195,49,7,0,0,0,19.6971875,190307,33.23594945,1003.250571,83.58669401
159,42,7,0,0,0,19.69796875,190527,33.2303763,1003.250139,83.59031889
159,42,7,0,0,0,19.69796875,190307,33.2303763,1003.258763,83.51794341
159,42,7,0,0,0,19.69640625,189431,33.22458732,1003.264801,83.46726897
171,45,8,0,0,0,19.69445313,190747,33.21876262,1003.266743,83.45096999
171,45,8,0,0,0,19.69152344,191524,33.2128482,1003.263619,83.47718388
171,45,8,0,0,0,19.6909375,191190,33.20714999,1003.255751,83.5432212
168,44,10,0,0,0,19.689375,190747,33.21829469,1003.258339,83.52149723
168,44,10,0,0,0,19.6878125,190858,33.21250631,1003.257479,83.52872314
168,44,10,0,0,0,19.68527344,192870,33.21791676,1003.251552,83.57846177
147,38,10,0,0,0,19.68195313,192195,33.2063224,1003.252956,83.5666769
